pp,group,group2,age,age_cont,gender,race,g edu,tempord,tempord_b,tempord_w,tempord_bw,recog,recogimg,recogtxt,scaledcorz_within,scaledcorz_ktoa,scaledcorz_adultlike,cantab468,cantab12,cantabstrat,kbit,nbps,unitlength
40,A,A,18,,F,B,3,34,0.923076923,0.846153846,0.785714286,19,9,10,0.498501056,,0.498501056,2,36,16,91,12,98.69230769
41,K,OK,7,7.657534247,M,M,6,35,1,0.846153846,0.785714286,17,10,7,0.474019715,0.144563058,0.144563058,6,22,17,110,23,53.45833333
42,A,A,18,,F,I,1,35,0.769230769,0.846153846,1,,8,10,,,,1,9,15,87,,
43,A,A,20,,M,B,3,34,0.923076923,0.846153846,0.785714286,19,10,9,0.434518924,,0.434518924,0,30,11,76,35,35.63888889
44,A,A,18,,F,W,5,36,1,0.846153846,0.857142857,20,10,10,0.362281688,,0.362281688,15,27,5,99,24,51.32
45,A,A,18,,M,B,4.5,32,0.923076923,0.846153846,0.642857143,18,10,8,0.235992895,,0.235992895,0,36,13,89,7,160.375
46,K,OK,7,7.717808219,M,M,6.5,33,0.846153846,0.846153846,0.785714286,20,10,10,0.493693327,0.270283796,0.270283796,22,45,17,115,6,183.2857143
47,K,YK,5,5.287671233,M,A,7,19,0.384615385,0.538461538,0.5,15,7,8,0.465237683,0.033161321,0.033161321,19,46,19,107,19,64.15
48,A,A,19,,M,W,7,39,1,0.923076923,1,19,10,9,0.686524567,,0.686524567,5,20,5,126,20,61.0952381
53,A,A,20,,M,W,,36,0.846153846,0.846153846,1,18,10,8,0.944975748,,0.944975748,0,24,3,99,16,75.47058824
55,A,A,20,,M,B,6,36,0.923076923,1,0.785714286,19,10,9,0.488767179,,0.488767179,19,23,15,94,62,20.36507937
56,A,A,19,,M,W,5.5,32,0.769230769,0.923076923,0.714285714,20,10,10,0.418943013,,0.418943013,22,43,20,86,22,55.7826087
63,A,A,18,,M,M,5,38,0.923076923,0.923076923,1,20,10,10,0.706846668,,0.706846668,1,32,9,103,26,47.51851852
64,K,YK,5,5.087671233,F,W,4,18,0.461538462,0.307692308,0.571428571,9,3,6,,,,31,48,18,107,,
65,A,A,21,,M,M,4,38,0.923076923,1,0.928571429,20,10,10,0.701411832,,0.701411832,17,9,16,97,15,80.1875
66,A,A,19,,M,W,6,37,0.846153846,1,0.928571429,20,10,10,0.571381037,,0.571381037,5,17,7,94,58,21.74576271
67,A,A,19,,M,W,6,33,0.769230769,0.769230769,0.928571429,20,10,10,0.365443754,,0.365443754,1,11,7,94,34,36.65714286
