,index,dissimvalues,pairtype,subjnum,age
95,boundary,0.5106835052819236,shared,sub-1007,kid
96,within,0.6773367279448477,within,sub-1007,kid
97,boundary,0.8556599473263196,unique,sub-1007,kid
98,within,1.1301674139021258,within,sub-1007,kid
99,boundary,0.38947939813134835,shared,sub-1007,kid
100,within,0.7521902834420782,within,sub-1009,kid
101,boundary,0.8729785905386682,unique,sub-1009,kid
102,within,0.7420899444371682,within,sub-1009,kid
103,boundary,0.6214107077848421,unique,sub-1009,kid
104,within,0.7250340926395193,within,sub-1009,kid
105,boundary,1.1321027037234632,shared,sub-1009,kid
106,within,0.4128287620644613,within,sub-1009,kid
107,boundary,0.6479884584225929,unique,sub-1009,kid
108,within,1.2773568726284146,within,sub-1009,kid
109,boundary,0.6740433213410666,unique,sub-1009,kid
110,within,1.2057478310392389,within,sub-1009,kid
111,boundary,1.403535267598787,shared,sub-1009,kid
112,within,0.5879340442202136,within,sub-1009,kid
113,boundary,0.6275582726253348,unique,sub-1009,kid
114,within,0.5378512388034937,within,sub-1009,kid
115,boundary,0.45420694579389864,shared,sub-1009,kid
116,within,0.5921687221285781,within,sub-1009,kid
117,boundary,0.7329370668300796,unique,sub-1009,kid
118,within,0.4212794038044023,within,sub-1009,kid
119,boundary,0.39995652750156263,shared,sub-1009,kid
120,within,0.8435722381974124,within,sub-1011,kid
121,boundary,0.8573679242446732,unique,sub-1011,kid
122,within,0.6663206068900347,within,sub-1011,kid
123,boundary,0.7480201297100808,unique,sub-1011,kid
124,within,0.62960506360041,within,sub-1011,kid
125,boundary,0.794071400969688,shared,sub-1011,kid
126,within,0.8117800298704617,within,sub-1011,kid
127,boundary,0.6103831526962447,unique,sub-1011,kid
128,within,0.39441176438482717,within,sub-1011,kid
129,boundary,0.814744502012922,unique,sub-1011,kid
130,within,0.2837291977800006,within,sub-1011,kid
131,boundary,0.763605550477027,shared,sub-1011,kid
132,within,0.8786360905174506,within,sub-1011,kid
133,boundary,0.4168932075879912,unique,sub-1011,kid
134,within,0.46419920375858703,within,sub-1011,kid
135,boundary,0.6562586194837534,shared,sub-1011,kid
136,within,0.6583402404776554,within,sub-1011,kid
137,boundary,0.5644266893138606,unique,sub-1011,kid
138,within,0.8363015304790606,within,sub-1011,kid
139,boundary,0.40075556579576055,shared,sub-1011,kid
140,within,1.2050072737342516,within,sub-1012,kid
141,boundary,0.79071022029567,unique,sub-1012,kid
142,within,1.185910070988728,within,sub-1012,kid
143,boundary,1.3512153284908035,unique,sub-1012,kid
144,within,0.21793660746723187,within,sub-1012,kid
145,boundary,0.5996689703758196,shared,sub-1012,kid
146,within,1.0787196630687352,within,sub-1012,kid
147,boundary,0.983525890904186,unique,sub-1012,kid
148,within,0.8450398436820372,within,sub-1012,kid
149,boundary,0.3552488616888694,unique,sub-1012,kid
150,within,0.5440883115162956,within,sub-1012,kid
151,boundary,0.5533090891931554,shared,sub-1012,kid
152,within,0.7842516454533668,within,sub-1012,kid
153,boundary,0.5262667300148673,unique,sub-1012,kid
